# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- stable diffusion ----
# The (( array, the feet set and the style tags. Sigil is "("
# because that is the shortcut these were already known by.

8k, 4k, ultra high definition and ultra realistic and ultra high quality full body photo of (beautiful barefoot 18 years young woman),	OPENER FULLBODY PHOTO 8K UHD REALISTIC BAREFOOT BASE
(best, quality:.888), (masterpiece:.888), (realistic:.888), (detailed:1.111), (highres, best, quality:.888), (photorealistic:1.111),	QUALITY MASTERPIECE REALISTIC DETAILED PHOTOREALISTIC WEIGHTED
score_9, score_8_up, score_7_up,	SCORE PONY 9 8 7 UP SHORT
(good face detail, perfect face quality, best image quality, best quality, good image detail, body and face very well detailed, realistic, 8k, high definition face or well detailed, perfect image clarity, very good image clarity, best eye detail, best girl detail, soft light), score_9_up, score_8_up, score_7_up, score_6_up, cinematic lighting, high quality, 4k resolution, absurdres, masterpiece, dynamic lighting, raw, bokeh, girl, (beautiful face, cute face, 18 years old), erect nipples, (narrow waist, narrow hips:1.3), broken mirror throwing shattered reflections, <lora:3D XL:.7777777>, <lora:detailed_notrigger:.7>	QUALITY FACE EYES CINEMATIC SCORE FULL STACK LONG
professional photograph, ultra detailed, intricate details, (photorealistic:1.4444), 8k, UHD, strong sidelight, contrast, tack sharp, (masterpiece:1.111),	PROFESSIONAL PHOTOGRAPH UHD SIDELIGHT TACK SHARP MASTERPIECE
(realistic lighting) , (realistic shadows) , (realistic highlights),	LIGHTING SHADOWS HIGHLIGHTS REALISTIC
hyper-detailed face, professional photo, realistic, high resolution, high detail, photorealism, depth of field, 32k, 30mm lens, 1/250s, f/2.8, ISO 300. Yours Truly, Astrid Ivy ®️, ISO 300 . prominent feet	CAMERA LENS ISO APERTURE HYPERDETAILED FACE SIGNATURE
(barefoot petite young young woman),	SUBJECT BAREFOOT PETITE YOUNG WOMAN
(((young adult young adult young adult young adult young adult young adult girl)))	SUBJECT YOUNG ADULT EMPHASIS REPEATED
(large round breasts), natural perky breasts	BREASTS LARGE ROUND NATURAL PERKY
dark, ginger, demon, beautiful young adult girl, angry, fire, best quality, ultra-detailed, masterpiece, finely detail, highres, 8k wallpaper,  perfect body, naked, pussy,	SCENE DEMON GINGER DARK FIRE ANGRY NAKED
yours truly, astrid ivy  (prominent_feet:.15208384643)	SIGNATURE YOURS TRULY ASTRID IVY FEET WEIGHTED FAINT
Yours Truly, Astrid Ivy ♡ (prominent_feet)	SIGNATURE YOURS TRULY ASTRID IVY HEART FEET
(((prominent_feet))),	FEET PROMINENT EMPHASIS TRIPLE UNDERSCORE
(((prominent feet))),	FEET PROMINENT EMPHASIS TRIPLE
((prominent feet)),	FEET PROMINENT EMPHASIS DOUBLE
(prominent feet),	FEET PROMINENT PLAIN
(perfect detailed toes),	TOES PERFECT DETAILED
(black toenails)	TOENAILS BLACK
(red nails, red toenails)	NAILS RED TOENAILS
score_9, score_8_up, score_7_up, A detailed pencil drawing with clean lines and meticulous shading, sketch of  The drawing should have delicate shading and intricate details, capturing the essence of the subject with fine pencil strokes, background is be simple, allowing the focus to remain on the portrait itself, (drawing by NTY v0ng44g sk3tch:1), (prominent feet)<lora:sketch_it:1.4444>	STYLE PENCIL DRAWING SKETCH SHADING LORA
8k, 4k, ultra high definition and ultra realistic and ultra high quality full body photo of beautiful barefoot 18 years young woman with slightly grayish blue hair	OPENER FULLBODY PHOTO GRAYISH BLUE HAIR BAREFOOT
(Jack Cayless art style:1.1)	STYLE JACK CAYLESS ART
trio , (on all fours, head down, presenting pussy), (((tongue kissing vagina, licking pussy))), (((masturbating))) ,	SCENE TRIO ALL FOURS EXPLICIT
