# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- stable diffusion ----
# The )) array plus the feet negatives. Two "<free slot>" rows from
# Texpand's fixed-size array are dropped -- they were placeholders.

(disproportionate), (unrealistic), (badly drawn feet), (deformed feet), (cut-off feet:1.1), (feet out of frame:1.1), ugly toes, ugly fingers, ugly teeth, teeth, teardrop boobs, teardrop breasts, sagging breasts, sagging boobs, tan lines, acne, moles, age spots, bad anatomy, bad hands, fused fingers, extra arm, missing fingers, poorly drawn hands, extra legs, extra toes, missing toes, blurry, unclear background	NEGATIVE FEET ANATOMY HANDS SKIN BLEMISHES TEETH FULL
bad art, bad anatomy, bad proportions, lowres, mutated deformed, malformed, bad hands, bad fingers, bad eyes, (cut-off feet:.7), anime, fake, cartoon, painting, sketch, 3D, 3d render, 3DCG, cgstation, drawing, illustration, monochrome, grayscale, artifacts, jpegartifacts, jpeg artifacts, high pass filter, airbrush, oversaturation, oversaturated, over shadow, kitsch, blurry, blur, vignette, out of shot, out of focus, out of frame, gaussian, grainy, noisy, logo, text, writing, error, ugly, odd	NEGATIVE ART ANATOMY MEDIUM ARTIFACTS PHOTO FAULTS LONG
bad anatomy, deformed, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, abnormal feet, abnormal fingers, noisy, blurry, soft, deformed, ugly, anime, cartoon, graphic, text, abstract, glitch	NEGATIVE ANATOMY FACE HANDS MEDIUM SHORT
old, bad anatomy, bad proportions, lowres, mutated deformed, malformed, bad hands, bad fingers, bad eyes, long body, blurry, duplicated, cloned, duplicate body parts, disfigured, extra limbs, twisted, distorted, malformed hands, malformed feet , conjoined, missing limbs, blend, artifacts, ugly, face defects, selfie	NEGATIVE ANATOMY LIMBS DUPLICATE CLONED SELFIE
draft, logo, text, corner logo, corner text, background text	NEGATIVE TEXT LOGO DRAFT CORNER SHORT
cartoon, (bad art), (deformed), (poorly drawn), (extra limbs), blurry, boring, sketch, lackluster, signature, letters, watermark	NEGATIVE CARTOON WATERMARK SIGNATURE LACKLUSTER SHORT
(anime illustrious) ,(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1), (3D ,3D Game, 3D Game Scene, 3D Character:1.1), (watermark, bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)	NEGATIVE ILLUSTRIOUS ANIME QUALITY WATERMARK 3D LONGEST
(cock, penis, men, man, males , male, (male energy:1), 2 cocks, three cocks)	NEGATIVE MALE COCK PENIS MEN MASCULINE
(worst quality, low quality, normal quality:1.4444), disproportionate , boring, awkward pose , uncanny , logo, painting, sketches, anime, drawing, cartoon, 3d render, cgi, smooth, plastic, soft, semi-realistic, (((low resolution))), (blurry), blurred, bokeh, out of focus, bad quality, sharpless, high contrast, to much arms, bad eyes, (((asymetric eyes))), (poorly drawn eyes), bad fingers, bad hands, poorly drawn fingers, poorly drawn hands, poorly drawn mouth, poorly drawn teeth,	NEGATIVE QUALITY EYES HANDS RENDER POSE UNCANNY
underage , (cut-off feet:.7) , anime, fake, cartoon, painting, sketch, 3D, 3d render, 3DCG, cgstation, drawing, illustration, monochrome, grayscale, (worst quality:1.8888), (low quality:1.4444), (normal quality:1.2222),(score_6, score_5, score_4:1.1111), lowres, artifacts, jpegartifacts, jpeg artifacts, high pass filter, airbrush, oversaturation, oversaturated, over shadow, kitsch, blurry, blur, vignette, out of shot, out of focus, out of frame, gaussian, grainy, noisy, logo, text, writing, error, ugly, old, odd, bad anatomy, bad proportions, bad body, deformed body, deformed, disfigured, morphing, decay, messy, malformed limbs, disconnected limbs, poorly drawn face, cloned face, bad eyes, ugly eyes, dead eyes, cross-eyed,bad feet, extra legs, broken legs	NEGATIVE UNDERAGE QUALITY SCORE ANATOMY ARTIFACTS FULL STACK
worst quality, low quality, old, bad anatomy, bad proportions, lowres, mutated deformed, malformed, bad hands, bad fingers, bad eyes, (cut-off feet:.7) , anime, fake, cartoon, painting, sketch, 3D, 3d render, 3DCG, cgstation, drawing, illustration, monochrome, grayscale, (worst quality:1.666), (low quality:1.666), (normal quality:1.666),(score_6, score_5, score_4:1.4444), lowres, artifacts, jpegartifacts, jpeg artifacts, high pass filter, airbrush, oversaturation, oversaturated, over shadow, kitsch, blurry, blur, vignette, out of shot, out of focus, out of frame, gaussian, grainy, noisy, logo, text, writing, error, ugly, old, odd,	NEGATIVE QUALITY SCORE ANATOMY ARTIFACTS LONG
(((muscular, buff, muscle bulk, big muscles))),	NEGATIVE MUSCULAR BUFF MUSCLE BULK
(cut-off feet:1) , (feet out of frame:1), (badly drawn feet), (ugly feet:1), (deformed toes),	NEGATIVE FEET CUTOFF OUT OF FRAME BADLY DRAWN TOES
(badly drawn feet), (ugly feet:1), (deformed toes),	NEGATIVE FEET BADLY DRAWN UGLY DEFORMED TOES SHORT
(feet out of frame), (cut-off feet),	NEGATIVE FEET OUT OF FRAME CUTOFF SHORTEST
